top_web_name,total_minutes,sessions,unique_machines,avg_minutes_per_session,platform,minute_share,cumulative_minute_share
XVIDEOS.COM,451911.35,47216,4658,9.57114855133853,mobile,0.2148964653660809,0.2148964653660809
XNXX.COM,419296.9666666667,38720,4138,10.828950585399449,mobile,0.19938741541982985,0.4142838807859107
PORNHUB.COM,365356.25,50384,5893,7.251433986979993,mobile,0.1737370984915652,0.588020979277476
XHAMSTER.COM,96127.91666666667,13387,2221,7.180691466845945,mobile,0.045711508495353895,0.6337324877728299
CHATURBATE.COM,73900.21666666666,13191,2387,5.602321026962827,mobile,0.035141616495036485,0.6688741042678663
SPANKBANG.COM,33553.78333333333,4709,880,7.125458342181638,mobile,0.015955760876536183,0.6848298651444025
"Various, Inc",30712.433333333334,4197,1247,7.317711063458026,mobile,0.014604619614277748,0.6994344847586802
REDTUBE.COM,29907.316666666666,4149,868,7.208319273720575,mobile,0.014221764158503096,0.7136562489171833
FETLIFE.COM,24940.7,3299,134,7.56007881176114,mobile,0.011859999253738183,0.7255162481709214
YOUPORN.COM,21082.266666666666,3969,1148,5.311732594272277,mobile,0.01002520646709098,0.7355414546380123
FAPHOUSE.COM,20347.8,5104,828,3.986637931034483,mobile,0.009675947059032576,0.745217401697045
LITEROTICA.COM,18525.75,2507,247,7.3896090945353015,mobile,0.008809511408057517,0.7540269131051025
STRIPCHAT.COM,15569.05,9203,2659,1.6917363903075084,mobile,0.007403517999952384,0.7614304311050549
MANGAGO.ME,15045.683333333332,646,43,23.290531475748192,mobile,0.007154642536308697,0.7685850736413636
RULE34.XXX,14822.816666666668,1775,180,8.350882629107982,mobile,0.0070486632133406266,0.7756337368547043
Global Personals LLC,13316.966666666667,685,39,19.440827250608272,mobile,0.006332589491422571,0.7819663263461268
SKIPTHEGAMES.COM,13120.15,2240,138,5.8572098214285715,mobile,0.006238997670832535,0.7882053240169594
NHENTAI.NET,11696.466666666667,1312,111,8.914989837398375,mobile,0.005561996493203486,0.7937673205101629
PORNPICS.COM,9963.316666666668,1024,186,9.729801432291667,mobile,0.004737835274528136,0.798505155784691
MYFREECAMS.COM,8960.983333333334,1884,601,4.756360580325548,mobile,0.004261197786994496,0.8027663535716855
LUXURETV.COM,8398.2,759,241,11.064822134387352,mobile,0.003993578597743608,0.8067599321694291
YOUJIZZ.COM,6583.533333333334,979,206,6.724753149472251,mobile,0.003130653927928798,0.8098905860973579
MYREADINGMANGA.INFO,6179.816666666667,368,28,16.792980072463767,mobile,0.0029386753801980475,0.812829261477556
LIVEJASMIN.COM,6079.3,7192,1444,0.8452864293659622,mobile,0.0028908768985333425,0.8157201383760893
SEX.COM,5438.066666666667,996,341,5.4599062918340024,mobile,0.002585952543771632,0.8183060909198608
XVIDEOS.COM,970819.8,81906,13809,11.852853270822651,desktop,0.1477075181994047,0.1477075181994047
CHATURBATE.COM,897022.9333333333,115645,18672,7.756694481675242,desktop,0.13647953126895096,0.28418704946835566
XNXX.COM,577338.25,43431,8514,13.293229490456126,desktop,0.08784040052447165,0.37202744999282733
PORNHUB.COM,566949.0166666667,104127,20698,5.444783933721962,desktop,0.08625970772065657,0.4582871577134839
XHAMSTER.COM,480821.3333333333,48078,7775,10.000859714075737,desktop,0.07315562151080496,0.5314427792242888
GAMCORE.COM,379974.98333333334,6642,1179,57.20791679213089,desktop,0.057812131320381835,0.5892549105446707
FAPHOUSE.COM,169260.56666666668,34514,6076,4.904113306677484,desktop,0.025752521973035798,0.6150074325177065
SPANKBANG.COM,94457.58333333333,18476,3979,5.1124476798729885,desktop,0.014371457204807852,0.6293788897225143
VS3.COM,69518.66666666667,2388,465,29.111669458403128,desktop,0.010577070762117764,0.6399559604846321
LITEROTICA.COM,69334.11666666667,5571,575,12.445542392149823,desktop,0.010548991995611663,0.6505049524802438
"Various, Inc",66715.76666666666,6355,1535,10.498153684762654,desktop,0.010150617363906158,0.66065556984415
MANGAGO.ME,59661.26666666667,3039,269,19.631874520127237,desktop,0.009077294912986122,0.6697328647571361
NHENTAI.NET,53865.683333333334,6515,1110,8.267948324379637,desktop,0.008195513113022317,0.6779283778701585
PEOPLE-WET.COM,53834.083333333336,1938,112,27.778164774681805,desktop,0.008190705261374564,0.686119083131533
RULE34.XXX,53408.916666666664,13239,2359,4.034210791348793,desktop,0.008126017341789027,0.6942451004733221
PORNTREX.COM,48852.65,1491,315,32.765023474178406,desktop,0.007432794107582219,0.7016778945809043
E621.NET,46439.85,5294,536,8.772166603702304,desktop,0.007065693333667715,0.708743587914572
CAM4.COM,45126.583333333336,3246,1413,13.902212980078046,desktop,0.0068658834821717545,0.7156094713967438
YOUPORN.COM,44891.65,7895,2562,5.686086130462318,desktop,0.006830139032368629,0.7224396104291124
BAREBACKRT.COM,41921.95,287,22,146.06951219512194,desktop,0.006378307480522681,0.7288179179096351
E-HENTAI.ORG,33624.26666666667,3568,514,9.423841554559043,desktop,0.0051158381613233515,0.7339337560709585
FETLIFE.COM,33034.333333333336,3083,218,10.714996215807115,desktop,0.0050260814540850265,0.7389598375250435
STRIPCHAT.COM,32486.45,16905,6224,1.921706595681751,desktop,0.004942722536776702,0.7439025600618202
FAKELAY.COM,27661.733333333334,245,24,112.90503401360544,desktop,0.004208655385644599,0.7481112154474648
PANTYDEAL.COM,26341.933333333334,325,10,81.05210256410257,desktop,0.004007851505748892,0.7521190669532137
